mu	nu	muz	nuz	product_mean	product_std	matrix_mean	matrix_std
1	2	1	z	6.84904e-05	1.49199e-05	0.000242598	3.13461e-05
1	3	1	z+1	6.83013e-05	1.36707e-05	0.000242749	2.49758e-05
1	4	1	z^2	6.8807e-05	1.46169e-05	0.000242678	2.27239e-05
1	5	1	z^2+1	6.84783e-05	1.41986e-05	0.00024241	2.58655e-05
1	6	1	z^2+z	6.81612e-05	1.342e-05	0.000240962	2.41087e-05
1	7	1	z^2+z+1	6.89002e-05	1.49257e-05	0.000245366	3.14009e-05
1	8	1	z^3	7.01798e-05	1.53078e-05	0.000249363	3.04822e-05
1	9	1	z^3+1	6.93495e-05	1.36101e-05	0.000246152	2.50999e-05
1	10	1	z^3+z	6.9147e-05	1.38322e-05	0.000243987	2.18306e-05
1	11	1	z^3+z+1	6.80001e-05	1.3751e-05	0.000240719	2.50909e-05
1	12	1	z^3+z^2	6.85398e-05	1.4304e-05	0.000243087	2.39984e-05
1	13	1	z^3+z^2+1	6.82487e-05	1.48055e-05	0.000241911	2.89439e-05
1	14	1	z^3+z^2+z	6.89123e-05	1.55887e-05	0.000243952	3.16468e-05
1	15	1	z^3+z^2+z+1	6.77286e-05	1.42187e-05	0.000240609	2.75708e-05
1	16	1	z^4	6.91698e-05	1.53796e-05	0.000242156	2.40894e-05
1	17	1	z^4+1	6.86371e-05	1.40351e-05	0.000242913	2.49996e-05
1	18	1	z^4+z	6.83735e-05	1.39363e-05	0.000242957	2.59563e-05
1	19	1	z^4+z+1	6.90306e-05	1.60669e-05	0.000242113	3.16537e-05
1	20	1	z^4+z^2	6.92876e-05	1.6302e-05	0.000242878	3.01589e-05
1	21	1	z^4+z^2+1	6.80992e-05	1.48317e-05	0.00024002	2.50572e-05
1	22	1	z^4+z^2+z	6.76522e-05	1.33473e-05	0.000240569	2.40556e-05
1	23	1	z^4+z^2+z+1	6.87419e-05	1.48409e-05	0.000242899	2.7663e-05
1	24	1	z^4+z^3	6.91721e-05	1.51732e-05	0.000241809	2.50393e-05
1	25	1	z^4+z^3+1	6.88462e-05	1.68642e-05	0.000241412	3.29355e-05
1	26	1	z^4+z^3+z	6.88634e-05	1.5904e-05	0.000241823	2.99968e-05
1	27	1	z^4+z^3+z+1	6.78892e-05	1.3603e-05	0.000239262	2.6381e-05
1	28	1	z^4+z^3+z^2	6.82282e-05	1.48793e-05	0.000240251	2.36287e-05
1	29	1	z^4+z^3+z^2+1	6.88797e-05	1.41034e-05	0.000243725	2.3935e-05
1	30	1	z^4+z^3+z^2+z	6.80196e-05	1.3905e-05	0.000239893	2.20305e-05
1	31	1	z^4+z^3+z^2+z+1	6.81896e-05	1.38251e-05	0.000241356	2.64951e-05
1	32	1	z^5	6.90599e-05	1.58958e-05	0.000243345	3.41448e-05
1	33	1	z^5+1	6.86888e-05	1.48782e-05	0.000242346	3.02063e-05
1	34	1	z^5+z	6.84145e-05	1.39776e-05	0.000242083	2.36544e-05
1	35	1	z^5+z+1	6.86958e-05	1.49243e-05	0.000242839	2.71648e-05
1	36	1	z^5+z^2	6.98506e-05	1.4627e-05	0.000244212	2.56604e-05
1	37	1	z^5+z^2+1	6.86045e-05	1.52904e-05	0.000239809	2.30838e-05
1	38	1	z^5+z^2+z	6.86864e-05	1.50281e-05	0.000241562	3.38005e-05
1	39	1	z^5+z^2+z+1	6.92173e-05	1.5846e-05	0.000242447	3.24996e-05
1	40	1	z^5+z^3	6.80173e-05	1.46285e-05	0.000238422	2.31027e-05
1	41	1	z^5+z^3+1	6.78957e-05	1.35721e-05	0.000238868	2.27925e-05
1	42	1	z^5+z^3+z	6.86874e-05	1.38672e-05	0.00024266	2.5754e-05
1	43	1	z^5+z^3+z+1	6.88927e-05	1.44537e-05	0.000240233	2.44433e-05
1	44	1	z^5+z^3+z^2	6.80075e-05	1.51878e-05	0.000240611	3.27334e-05
1	45	1	z^5+z^3+z^2+1	6.8123e-05	1.45391e-05	0.000240463	2.84703e-05
1	46	1	z^5+z^3+z^2+z	6.86669e-05	1.47048e-05	0.000241388	2.57374e-05
1	47	1	z^5+z^3+z^2+z+1	6.83418e-05	1.48321e-05	0.000239789	2.5137e-05
1	48	1	z^5+z^4	6.85588e-05	1.42824e-05	0.000241277	2.38727e-05
1	49	1	z^5+z^4+1	6.90175e-05	1.35904e-05	0.000241812	2.44845e-05
1	50	1	z^5+z^4+z	6.92611e-05	1.64065e-05	0.000241977	3.13647e-05
1	51	1	z^5+z^4+z+1	6.83479e-05	1.47328e-05	0.000240605	2.93335e-05
1	52	1	z^5+z^4+z^2	6.81533e-05	1.44297e-05	0.000240441	2.50121e-05
1	53	1	z^5+z^4+z^2+1	6.81784e-05	1.38058e-05	0.000242045	2.46259e-05
1	54	1	z^5+z^4+z^2+z	6.7946e-05	1.3925e-05	0.000241097	2.55425e-05
1	55	1	z^5+z^4+z^2+z+1	6.84317e-05	1.45111e-05	0.000240341	2.33476e-05
1	56	1	z^5+z^4+z^3	6.80094e-05	1.46278e-05	0.00024112	2.93884e-05
1	57	1	z^5+z^4+z^3+1	6.81649e-05	1.41511e-05	0.000240898	3.00641e-05
1	58	1	z^5+z^4+z^3+z	6.81793e-05	1.42432e-05	0.0002411	2.62739e-05
1	59	1	z^5+z^4+z^3+z+1	6.81947e-05	1.41615e-05	0.000240839	2.65654e-05
