2015-08-31T14:29:53.738989 INFO   :R0: fins invertible elements:
2015-08-31T14:29:53.749227 INFO   :	candidate found: (z,z^5)
2015-08-31T14:29:53.749603 INFO   :	candidate found: (z^2,z^4)
2015-08-31T14:29:53.750056 INFO   :	candidate found: (z^3,z^3)
2015-08-31T14:29:53.750447 INFO   :	candidate found: (z^3+z+1,z^5+z^4+z)
2015-08-31T14:29:53.750771 INFO   :	candidate found: (z^3+z^2+1,z^5+z^4+z^2)
2015-08-31T14:29:53.751235 INFO   :	candidate found: (z^4+z+1,z^4+z+1)
2015-08-31T14:29:53.751654 INFO   :	candidate found: (z^4+z^2+z,z^4+z^3+1)
2015-08-31T14:29:53.752353 INFO   :	candidate found: (z^4+z^3+z,z^4+z^3+z)
2015-08-31T14:29:53.752873 INFO   :	candidate found: (z^4+z^3+z^2+z+1,z^5+z^4+z^3+z^2+1)
2015-08-31T14:29:53.753381 INFO   :	candidate found: (z^5+z^2+1,z^5+z^2+1)
2015-08-31T14:29:53.753673 INFO   :	candidate found: (z^5+z^2+z,z^5+z^3+1)
2015-08-31T14:29:53.754255 INFO   :	candidate found: (z^5+z^3+z^2,z^5+z^3+z^2)
2015-08-31T14:29:53.754623 INFO   :	candidate found: (z^5+z^3+z^2+z+1,z^5+z^4+z^3+z+1)
2015-08-31T14:29:53.755319 INFO   :	candidate found: (z^5+z^4+z^2+z+1,z^5+z^4+z^2+z+1)
2015-08-31T14:29:53.755909 INFO   :	candidate found: (z^5+z^4+z^3+z^2+z,z^5+z^4+z^3+z^2+z)
2015-08-31T14:29:53.756125 INFO   :R0: Found 15 candidates and 39 non invertible (64 total elements)
2015-08-31T14:29:53.775365 INFO   :R1: invertible elements shall not have itself as inverse
2015-08-31T14:29:53.775970 INFO   :R1: left 8 candidates
2015-08-31T14:29:53.777106 INFO   :R2: balanced hamming weights
2015-08-31T14:29:53.777327 INFO   :	R2a: weights in the classification: [2, 10, 6]
2015-08-31T14:29:53.777514 INFO   :	R2a: left 4 candidates
2015-08-31T14:29:53.777725 INFO   :	R2b: weights classification: [(3, 3)]
2015-08-31T14:29:53.777925 INFO   :	R2b: left 4 candidates
2015-08-31T14:29:53.778111 INFO   :R2: left 4 candidates
2015-08-31T14:29:53.778933 INFO   :R3: Find nu(z) candidates and select triplets with closer hamming weight to (w/2)*3.
2015-08-31T14:29:53.779183 INFO   :	And from here, the winner is the one with timming results.
2015-08-31T14:29:53.779412 INFO   :	[25%]Search for nu with (mu(z)=z^3+z+1,mu^{-1}(z)=z^5+z^4+z)
2015-08-31T14:29:53.826041 INFO   :		[25%-3%] Candidate (z^3+z+1,z^5+z^4+z,z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:53.873057 INFO   :		[25%-4%] Candidate (z^3+z+1,z^5+z^4+z,z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:53.919507 INFO   :		[25%-6%] Candidate (z^3+z+1,z^5+z^4+z,z^2) = 0.000156 (std 0.0012402)
2015-08-31T14:29:53.973188 INFO   :		[25%-9%] Candidate (z^3+z+1,z^5+z^4+z,z^2+z) = 0.000078 (std 0.000880424)
2015-08-31T14:29:54.019806 INFO   :		[25%-10%] Candidate (z^3+z+1,z^5+z^4+z,z^2+z+1) = 0.000234 (std 0.00151288)
2015-08-31T14:29:54.066776 INFO   :		[25%-12%] Candidate (z^3+z+1,z^5+z^4+z,z^3) = 0.000156 (std 0.0012402)
2015-08-31T14:29:54.113177 INFO   :		[25%-14%] Candidate (z^3+z+1,z^5+z^4+z,z^3+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:54.205791 INFO   :		[25%-18%] Candidate (z^3+z+1,z^5+z^4+z,z^3+z^2) = 0.000234 (std 0.00151288)
2015-08-31T14:29:54.251585 INFO   :		[25%-20%] Candidate (z^3+z+1,z^5+z^4+z,z^3+z^2+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:54.298859 INFO   :		[25%-21%] Candidate (z^3+z+1,z^5+z^4+z,z^3+z^2+z) = 0.000312 (std 0.00173993)
2015-08-31T14:29:54.352643 INFO   :		[25%-25%] Candidate (z^3+z+1,z^5+z^4+z,z^4) = 0.000078 (std 0.000880424)
2015-08-31T14:29:54.406084 INFO   :		[25%-28%] Candidate (z^3+z+1,z^5+z^4+z,z^4+z) = 0.000312 (std 0.00173993)
2015-08-31T14:29:54.455979 INFO   :		[25%-29%] Candidate (z^3+z+1,z^5+z^4+z,z^4+z+1) = 0.000078 (std 0.000880424)
2015-08-31T14:29:54.606188 INFO   :		[25%-35%] Candidate (z^3+z+1,z^5+z^4+z,z^4+z^2+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:54.654739 INFO   :		[25%-37%] Candidate (z^3+z+1,z^5+z^4+z,z^4+z^3) = 0.000156 (std 0.0012402)
2015-08-31T14:29:54.749692 INFO   :		[25%-40%] Candidate (z^3+z+1,z^5+z^4+z,z^4+z^3+z) = 0.000156 (std 0.0012402)
2015-08-31T14:29:54.850686 INFO   :		[25%-45%] Candidate (z^3+z+1,z^5+z^4+z,z^4+z^3+z^2+1) = 0.000234 (std 0.00151288)
2015-08-31T14:29:54.900044 INFO   :		[25%-48%] Candidate (z^3+z+1,z^5+z^4+z,z^4+z^3+z^2+z+1) = 0.000156 (std 0.0012402)
2015-08-31T14:29:54.947638 INFO   :		[25%-50%] Candidate (z^3+z+1,z^5+z^4+z,z^5) = 0.000234 (std 0.00151288)
